obs_key,status
RUN_START,RUN_START
PACE_OCI.20250319T210500.L2.OC_AOP.V3_1.nc||62,NO_VALID_PIXELS_5x5
PACE_OCI.20250324T204538.L2.OC_AOP.V3_1.nc||63,OBS_DONE
PACE_OCI.20250414T200235.L2.OC_AOP.V3_1.nc||66,NO_VALID_PIXELS_5x5
PACE_OCI.20250421T205331.L2.OC_AOP.V3_1.nc||67,NO_VALID_PIXELS_5x5
PACE_OCI.20250428T200553.L2.OC_AOP.V3_1.nc||68,OBS_DONE
PACE_OCI.20250428T213915.L2.OC_AOP.V3_1.nc||68,OBS_DONE
PACE_OCI.20250505T205126.L2.OC_AOP.V3_1.nc||69,OBS_DONE
PACE_OCI.20250513T203847.L2.OC_AOP.V3_1.nc||70,OBS_DONE
PACE_OCI.20250519T205402.L2.OC_AOP.V3_1.nc||71,NO_VALID_PIXELS_5x5
PACE_OCI.20250527T204128.L2.OC_AOP.V3_1.nc||72,OBS_DONE
PACE_OCI.20250602T205630.L2.OC_AOP.V3_1.nc||73,NO_VALID_PIXELS_5x5
PACE_OCI.20250609T200821.L2.OC_AOP.V3_1.nc||74,NO_VALID_PIXELS_5x5
PACE_OCI.20250623T200956.L2.OC_AOP.V3_1.nc||76,NO_VALID_PIXELS_5x5
PACE_OCI.20250623T214817.L2.OC_AOP.V3_1.nc||76,NO_VALID_PIXELS_5x5
PACE_OCI.20250630T205942.L2.OC_AOP.V3_1.nc||77,NO_VALID_PIXELS_5x5
PACE_OCI.20250707T201101.L2.OC_AOP.V3_1.nc||78,NO_VALID_PIXELS_5x5
PACE_OCI.20250714T210033.L2.OC_AOP.V3_1.nc||79,NO_VALID_PIXELS_5x5
PACE_OCI.20250721T201138.L2.OC_AOP.V3_1.nc||80,NO_VALID_PIXELS_5x5
PACE_OCI.20250721T214958.L2.OC_AOP.V3_1.nc||80,OBS_DONE
PACE_OCI.20250725T205353.L2.OC_AOP.V3_1.nc||81,NO_VALID_PIXELS_5x5
PACE_OCI.20250728T210056.L2.OC_AOP.V3_1.nc||82,OBS_DONE
PACE_OCI.20250806T194840.L2.OC_AOP.V3_1.nc||83,NO_VALID_PIXELS_5x5
PACE_OCI.20250811T210050.L2.OC_AOP.V3_1.nc||84,NO_VALID_PIXELS_5x5
PACE_OCI.20250821T202323.L2.OC_AOP.V3_1.nc||85,OBS_DONE
PACE_OCI.20250825T210521.L2.OC_AOP.V3_1.nc||86,NO_VALID_PIXELS_5x5
PACE_OCI.20250908T210429.L2.OC_AOP.V3_1.nc||87,NO_VALID_PIXELS_5x5
PACE_OCI.20250915T201441.L2.OC_AOP.V3_1.nc||88,OBS_DONE
PACE_OCI.20250922T210311.L2.OC_AOP.V3_1.nc||89,OBS_DONE
PACE_OCI.20250929T201315.L2.OC_AOP.V3_1.nc||90,NO_VALID_PIXELS_5x5
PACE_OCI.20250929T201315.L2.OC_AOP.V3_1.nc||91,NO_VALID_PIXELS_5x5
PACE_OCI.20250929T201815.L2.OC_AOP.V3_1.nc||90,NO_VALID_PIXELS_5x5
PACE_OCI.20250929T201815.L2.OC_AOP.V3_1.nc||91,NO_VALID_PIXELS_5x5
PACE_OCI.20251006T210127.L2.OC_AOP.V3_1.nc||92,OBS_DONE
PACE_OCI.20251006T210627.L2.OC_AOP.V3_1.nc||92,OBS_DONE
PACE_OCI.20251014T205110.L2.OC_AOP.V3_1.nc||93,NO_VALID_PIXELS_5x5
PACE_OCI.20251020T210415.L2.OC_AOP.V3_1.nc||94,OBS_DONE
PACE_OCI.20251027T201353.L2.OC_AOP.V3_1.nc||95,OBS_DONE
PACE_OCI.20251029T194526.L2.OC_AOP.V3_1.nc||96,OBS_DONE
PACE_OCI.20251029T212346.L2.OC_AOP.V3_1.nc||96,OBS_DONE
PACE_OCI.20251103T210147.L2.OC_AOP.V3_1.nc||97,NO_VALID_PIXELS_5x5
PACE_OCI.20251112T194253.L2.OC_AOP.V3_1.nc||98,NO_VALID_PIXELS_5x5
PACE_OCI.20251112T194753.L2.OC_AOP.V3_1.nc||98,NO_VALID_PIXELS_5x5
PACE_OCI.20251112T212113.L2.OC_AOP.V3_1.nc||98,NO_VALID_PIXELS_5x5
PACE_OCI.20251118T195547.L2.OC_AOP.V3_1.nc||99,OBS_DONE
PACE_OCI.20251118T200047.L2.OC_AOP.V3_1.nc||99,OBS_DONE
PACE_OCI.20251118T213407.L2.OC_AOP.V3_1.nc||99,OBS_DONE
PACE_OCI.20251124T200837.L2.OC_AOP.V3_1.nc||100,OBS_DONE
PACE_OCI.20251124T201337.L2.OC_AOP.V3_1.nc||100,OBS_DONE
PACE_OCI.20251203T203258.L2.OC_AOP.V3_1.nc||101,NO_VALID_PIXELS_5x5
PACE_OCI.20251212T205220.L2.OC_AOP.V3_1.nc||102,OBS_DONE
PACE_OCI.20251215T205844.L2.OC_AOP.V3_1.nc||103,OBS_DONE
